Hour,Solar,Demand,Buy,Sell,Charge,Discharge,SOC,y_c,y_d
0,0,5,5.0,0.0,0.0,0.0,15.0,0,0
1,0,5,5.0,0.0,0.0,0.0,15.0,0,0
2,0,5,5.0,0.0,0.0,0.0,15.0,0,0
3,0,5,5.0,0.0,0.0,0.0,15.0,0,0
4,0,5,5.0,0.0,0.0,0.0,15.0,0,0
5,0,5,17.0,0.0,12.0,0.0,26.4,1,0
6,0,10,13.789474,0.0,3.7894737,0.0,30.0,1,0
7,1,10,0.0,0.0,0.0,9.0,20.526316,0,1
8,4,25,20.5,0.0,0.0,0.5,20.0,0,1
9,10,25,3.0,0.0,0.0,12.0,7.3684211,0,1
10,18,25,0.0,0.0,0.0,7.0,0.0,0,1
11,28,25,0.0,3.0,0.0,0.0,0.0,0,0
12,36,20,0.0,16.0,0.0,0.0,0.0,0,0
13,40,20,0.0,9.4210526,10.578947,0.0,10.05,1,0
14,41,30,0.0,0.0,11.0,0.0,20.5,1,0
15,38,30,0.0,0.0,8.0,0.0,28.1,1,0
16,32,30,0.0,0.0,2.0,0.0,30.0,1,0
17,22,30,0.0,0.0,0.0,8.0,21.578947,0,1
18,12,15,0.0,0.0,0.0,3.0,18.421053,0,1
19,5,15,0.0,0.0,0.0,10.0,7.8947368,0,1
20,2,8,0.0,0.0,0.0,6.0,1.5789474,0,1
21,0,8,6.5,0.0,0.0,1.5,0.0,0,1
22,0,8,8.0,0.0,0.0,0.0,0.0,0,0
23,0,8,8.0,0.0,0.0,0.0,0.0,0,0
