Hour,Solar,Demand,Buy,Sell,Charge,Discharge,SOC,y_c,y_d
0,0,5,12.961,0.0,7.961,0.0,22.5,1.0,0.0
1,0,5,12.961,0.0,7.961,0.0,30.0,1.0,0.0
2,0,5,5.0,0.0,0.0,0.0,30.0,0.0,0.0
3,0,5,5.0,0.0,0.0,0.0,30.0,0.0,0.0
4,0,5,5.0,0.0,0.0,0.0,30.0,0.0,0.0
5,0,5,5.0,0.0,0.0,0.0,30.0,0.0,0.0
6,0,10,10.0,0.0,0.0,0.0,30.0,0.0,0.0
7,1,10,1.897,0.0,0.0,7.103,22.47,0.0,1.0
8,4,25,13.897,0.0,0.0,7.103,14.94,0.0,1.0
9,10,25,7.897,0.0,0.0,7.103,7.42,0.0,1.0
10,18,25,0.0,0.0,0.0,7.0,0.0,0.0,1.0
11,28,25,0.0,0.0,3.0,0.0,2.84,1.0,0.0
12,36,20,0.0,8.798,7.202,0.0,9.63,1.0,0.0
13,40,20,0.0,12.798,7.202,0.0,16.42,1.0,0.0
14,41,30,0.0,3.798,7.202,0.0,23.21,1.0,0.0
15,38,30,0.0,0.798,7.202,0.0,30.0,1.0,0.0
16,32,30,0.0,2.0,0.0,0.0,30.0,0.0,0.0
17,22,30,2.926,0.0,0.0,5.074,24.63,0.0,1.0
18,12,15,0.0,0.0,0.0,3.0,21.47,0.0,1.0
19,5,15,4.926,0.0,0.0,5.074,16.1,0.0,1.0
20,2,8,0.926,0.0,0.0,5.074,10.73,0.0,1.0
21,0,8,2.926,0.0,0.0,5.074,5.37,0.0,1.0
22,0,8,2.926,0.0,0.0,5.074,0.0,0.0,1.0
23,0,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0
